example_id,gold_intent,customer_message,predicted_intent,classification_method,top_similarity,decision,reason,intent_correct
1,delivery_delay,Prime is great...but @115821 is like a loser bf who just says he'll show up but never does...like my package today.,prime_membership_benefit,semantic,0.8116016983985901,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.812).,False
3,package_not_received,".@115821 delivers package, tracking says it was received by me.

But I've been at work this entire time.

Next 3 hours: anxiety attack.",tracking_delivery_status,keyword,0.7800429463386536,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.780).,False
4,return_refund,"@115850  Ordered a WD external hdd 2TB which was on 50% discount on the MRP of 11,400.
But received product's MRP is 8,810. This is how Amazon Business model works i guess. And yeah thanks to it's customer care they asked me to return instead of accepting their mistake https://t.co/4XEqDm48Ch",seller_marketplace,semantic,0.66341632604599,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.663).,False
5,technical_product_issue,@AmazonHelp I got the app for Amazon flex...how do I know when I can drive here in Las Vegas,tracking_delivery_status,semantic,0.6826640367507935,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.683).,False
8,other_unclear,@AmazonHelp Um 15.30Uhr beginnt Nein Wochenende 😉,technical_product_issue,semantic,0.7336748838424683,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.734).,False
25,damaged_defective_wrong_item,@AmazonHelp again disappointed by the seller of amazon. Delviering wrong product in d name of other product,seller_marketplace,semantic,0.7850219011306763,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.785).,False
26,seller_marketplace,"@115850 has unauthorized sellers like @226787 in India who sell faulty products/false warranty claims, hence avoid buying! PFA proof. https://t.co/hnGeWB2XGe",damaged_defective_wrong_item,keyword,0.9235856533050536,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.924).,False
27,delivery_delay,What options @115830 ? Ordered a book on prime on 26th October and still no sign of it. @AmazonHelp  cc @432799 #watchdog https://t.co/M4RSn12chG,prime_membership_benefit,semantic,0.7691718339920044,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.769).,False
32,other_unclear,@AmazonHelp No I have not received any correspondence from you and I have asked delivery proof from you.,seller_marketplace,semantic,0.7857736349105835,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.786).,False
35,other_unclear,@120533 Bah oui mais hors de question de payer l’envoi d’un fax ou d’un courrier à l’étranger . Merci de trouver une solution.,technical_product_issue,semantic,0.6730057001113892,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.673).,False
36,seller_marketplace,@115850 @115821 @AmazonHelp @115850 worst thing is.. After whatever mistakes he has done...   After first unsuccessful attempt he has returned my order to seller,return_refund,keyword,0.8560153245925903,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.856).,False
38,other_unclear,"@AmazonHelp Sent it, now do I just wait?",delivery_delay,semantic,0.8371306657791138,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.837).,False
41,damaged_defective_wrong_item,@AmazonHelp U call me on 9987825000 nd solve this.. sending second hand stuff while seeking payment for nee brand stuff,seller_marketplace,semantic,0.7807970643043518,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.781).,False
57,prime_membership_benefit,.@115830 Why can’t I use my £10 credit I signed up for using my firestick 🔥,technical_product_issue,semantic,0.7208150029182434,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.721).,False
65,delivery_delay,"@12339 @215765 
Tracking Number# 5180793475130
May I know why is the item from @115850  rescheduled without my consent??",tracking_delivery_status,keyword,0.7848966121673584,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.785).,False
68,prime_membership_benefit,アマゾンの特典ってなくなり次第終了？？,technical_product_issue,semantic,0.767259418964386,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.767).,False
73,other_unclear,"@AmazonHelp This is third time I'm am sending 
@115850  if you can't solve my problem tel here only that you can't don't kill my time again and again https://t.co/pwTcJ7SXng",technical_product_issue,semantic,0.7566856145858765,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.757).,False
77,return_refund,@AmazonHelp but where is my money. U are making me fool and that's not a right thing. u did not check my order process,tracking_delivery_status,keyword,0.8703620433807373,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.870).,False
