case_id,customer_message,amazon_response
1572864,"@AmazonHelp my order still hasn't arrived3 weeks later,seller is not responding to any emails.I need this cancelled &amp; refunded immediately.","@184337 Hi, I am sorry to hear this. You can file a claim with the link provided below http:https://t.co/FjiCD5XSEp ^CR"
524289,Amazon Echo届いた https://t.co/MUHbwFPgxY,@241210 ご購入いただきありがとうございました。ぜひご活用くださいませ！😉 EK
1572866,@AmazonHelp Yes,@184337 What was the delivery date advised in the order confirmation email ? ^TD
524293,"Waiting for the sounds of the loud, broke-down #OnTrac truck at the end of delivery window. Will this be the 1 shipment they get right? Nope 😫Please @115821 stop the madness &amp; stop using  @3375! 🙏🏻🙏🏻 #amazon","@241212 I'm sorry for the wait! Typically, carriers will attempt to deliver a late delivery the following day. Please keep us posted, we want to make sure you get your order! ^DW"
262149,@116875 Hola @116875 estoy teniendo un problema para hacer una devolución. @178440 no me está ayudando. ¿A dónde puedo llamar?,"@178439 Lamento el inconveniente, Ricardo. ¿Tu pedido fue enviado por Amazon o un vendedor en nuestra página? ^JQ"
262164,"@AmazonHelp Hey Amazon, why can't I reply to msgs I receive from ur customer support on the website? Need help w Prime CC, not a Chase issue","@178444 We'd like to help! When you have a moment, please contact us here: https://t.co/hApLpMlfHN ^RA"
262170,@115833 how can I change the name of my Amazon App. Mr's Amazon App is not great. https://t.co/ieaT5FSTaA,@178446 Hi there! You can edit the device's name under Your Devices here: https://t.co/R0oZneRVZ2 ^JM
262187,"One of my biggest problems with TNF is that I never know what channel it's on. CBS, NBC, NFLN, Amazon, Twitter, Facebook? Idk",@178448 You can find all remaining TNF games on Amazon Video. What team are you pulling for tonight? ^JH
1572924,"@AmazonHelp After ordering from site while on business trip. Amazon froze account, cancelled order, deleted payment methods.  #AmazonFail",@473760 I'm sorry for the troubles! Have you received an e-mail asking for info to be faxed? Be sure to check your spam/junk folder. ^AL
1572930,@120533 colis marquer livré mais je n'ai rien eu 😑,"@484861 Bonjour, désolée pour cela, quel est  le nom du transporteur ayant pris en charge votre livraison je vous prie ? ^KE"
1572940,@AmazonHelp Sir that's your choice of action and does not concern me. Moot point is #amazon isnt in mood to provide a resolution.,@148940 Sorry for the unpleasant experience. We have already forwarded the feedback to our concerned team. ^RI
1406799,#hearusamazon  @115851 @115850 @AmazonHelp what you done for duplicate orders and  fake orders you want to rich on sellers money? #GMV,@446986 Sorry for the trouble with your orders. Please contact our seller (1/2)^SQ
786516,@AmazonHelp No. They must have put the incorrect email in when security checking.,@307625 I'd suggest contacting by phone or chat to confirm the correct details: https://t.co/JzP7hlA23B. Please keep us posted. ^JJ
786525,"@119625 
@116618
@AmazonHelp
As #Arjunreddy uncensored will be available tmrw
Can I knw the time of release nd runtime of movie?",@197542 Kindly stay tuned to our website for an update on it. ^RW
1572960,@AmazonHelp I would like to buy this pillow for this price but it won't add to cart. https://t.co/pc1UlWjjc4,"@277596 Strange! Do you see the option to add to cart on the right-hand side? If not, please uninstall/reinstall the app. ^AB"
786533,@115830 Can I purchase an Amazon gift card in US dollars for a wedding gift and have it delivered to a US address?,@307628 Yes you can have to place the order on https://t.co/nUUp5MLhYl. ^PK
786543,"Amazonマーケットプレイスで買ったものが届かない〜〜！
発送済→届いてないのに配達完了になってるからなんでだと思ったら追跡番号が他人のっていう。
19日までに使いたいのに届くかな（ ;  ; ）",@307631 マーケットプレイスのご利用で、ご不便をおかけしております。商品の配送状況については、お手数ですが、出品者に直接お問い合わせください。https://t.co/daMaiz3Ahn すでにお問い合わせ済みの場合はご放念ください。 RI
1572981,Ansiosa pela Black friday da @117086,@155895 Sally a gente também está muito anciosa🙈. Já tem a lista de desejos cheia? ^MB
786552,@AmazonHelp Who do I forward this to? I know it's not off yourselves. https://t.co/LuI2f8UEM1,"@307633 Yes, it's not from Amazon, you can forward it to __email__. More info here: http:https://t.co/szbmOSyVzs. ^JJ"
1572991,@115830 my parcel was not handed to me at 10 past 11 last night I was asleep! https://t.co/6r8I21X90I,"@327562 Hi, this does not seem right. As we cannot access account info here, please reach out - https://t.co/JzP7hlA23B Keep us posted. ^TP"
786559,@115825 ist die zweite staffel von #ShannaraChronicles schon verfügbar?,@307635 Die 1. Folge sollte heute im Laufe des Tages online gehen. Bitte hab noch etwas Geduld. ^DW
1572993,@115850 Are u people really not interested to help?,@484870 Allow our support team to investigate this. You can report this here: https://t.co/R3EfhyZiK1 ^CB.
1573001,"@AmazonHelp Confirmation states Sunday, but  app said Saturday when I ordered.",@484871 I'm sorry! The date in the confirmation email is the most accurate estimate for delivery. Let us know that it arrives! ^AH
1573002,@115830 ordered prime item yesterday for delivery today now saying it’s arriving tomorrow??,@484871 I'm sorry for the delay! We aim to deliver by the date given in your order confirmation e-mail. Have we missed that date? ^TK
786572,@AmazonHelp need fast advice what number can i call re my account,@307638 You can request a call back here Marie https://t.co/zH8UlhTGcc ^KM
1573005,"@AmazonHelp I have two expected delivery dates, one saying arriving today by 8pm and the other saying between the 4th and the 7th of Nov",@484872 Hello there! We have responded to your DM. Please check there. ^AL
786577,Thank you @AmazonHelp for amazing support! 🙏🏻,@307350 :) SHUCKS! You've made us blush :) ^AS
1048774,"@AmazonHelp Different carrier this time. So far, all failed attempts were with Amazon Logistics. This time, it was @116324",@367863 Sorry to hear that. Is it an issue they have finding your address? What's the latest info on the tracking? ^RS
1310929,@AmazonHelp The link is not opening.,@426338 What is the error you're getting while accessing the link? ^RW
1048788,なんかAmazonの請求二重にきてるんやが,@367864 Amazonにて心当たりのないご請求が発生している場合、詳しい状況をお調べいたします。こちらのURLより、カスタマーサービスまでお問い合わせください。 https://t.co/yBwmwxsaFn EK
1310932,"@AmazonHelp I moved on from the page, ordering nothing, and then got an email that I ordered multiple of the same thing.",@188688 Please reach out to us via chat/phone with this link so we may try to correct this for you.  https://t.co/hApLpMlfHN ^CR
1048795,Ey! Girlies @2602 its been 2 months &amp; my CD is still in back order as per #musictoday. Pls send some signed Vinyl &amp; CD @115821 bettr,@367866 Were you given a reason for the delivery? ^KM
1048798,"うーん…Amazonから雑誌のコンビニ払いの請求書来ないなあ…
今ならすぐ払込出来るのに…",@367867 Amazonです。番号は出荷準備がされ次第の発行となりますので、心待ちにされているところ恐れ入りますがお届け予定日を目安におまちくださいませ。なお、発行済みの場合は注文履歴、アカウントサービス内のメッセージセンターからもご確認ができます。SK
1310944,@AmazonHelp So I did what they asked me for last time it happened.  Photographed card and receipt and emailed it to the gift card division.,"@179898 Thanks, please keep us updated. ^JJ"
1048804,"Hey @115850 
Wanted to know when the exchange offer on the One Plus 5 was going on till?","@367869 Exchange Offers are dependent on our buyback partners and hence is dynamic, couldn't predict till when this offer exists. ^GS"
1310952,@AmazonHelp Over 12 hours and NOTHING yet.,@179898 Thanks for keeping us posted! I'd like to have a team member look into this! Add your info here: https://t.co/uwXEX2qsxr ^FR
1310960,I got my @115821 credit card in the mail today! My journey to being in debt in a few years continues! 😂💳💸,@426339 😎 Well I think its time to start the shopping. 👗 👙👠 👡 👢 👛 👜 I will take all those please.😊 Have a great weekend ^CR
1310965,@115850 But is it a matter of concern if my amazon account email and the twitter email being different?,@426340 Kindly refer to the terms and conditions here: https://t.co/oFNAblhd8j for the required information. ^AP
844048,@130293 Para cuando la segunda temporada?,"@442345 Hola, de momento no tenemos esa información, sugiero visitar nuestro site, nuestras novedades son anunciadas por ese medio.^AZ"
1310977,I preordered the new Mario game in June on @115821. Delivery is scheduled for Tues. 4 days after release day. What is the point? @AmazonHelp,"@426345 I'm sorry for the inconvenience. Please keep us updated, we want to ensure your order arrives.  ^LJ"
1310982,"@115850 updating the delivery statuses as ""delivered"" before the customer even receives them.",@426346 We'd like to have a look into this. Kindly report it here: https://t.co/2t6DQoUmNZ and our team will revert shortly. ^AB
1310984,"@AmazonHelp ありがとうございます。わざわざすみません💦こんなに大きい箱と大量の紙はもったいないなあと。もう2,3本醤油を買わないと申し訳ない感じの梱包で💦
書いときます💦",@426347 重ねてお手数をおかけいたします m(_ _)m　頂いた貴重なご意見は、今後の商品および梱包についてのサービス向上の参考にさせていただきます。リプライいただきありがとうございました！HM
271,"@AmazonHelp 電話で対応してもらいましたが改良されませんでした。
保証期間も過ぎてるので買い直しになるんでしょうね。",@115770 カスタマーサービスにてお問い合わせ済みとのことで、お手数をおかけいたしました。リプライいただきありがとうございました。ET
990016,"@AmazonHelp Pues si no pasa nada, mañana lo monto. Ha llegado mucho antes de lo esperado, pero se agradece esa rapidez! Por algo sois mi opción número uno a la hora de comprar online, y la de muchos! Ahora a disfrutarlo! https://t.co/P6Df9ct3tf",@354510 ¡Es súper lindo saber que has tenido una buena experiencia en Amazon! ❤ Esperamos que lo disfrutes mucho. ^DB
844051,"@AmazonHelp Hello, can you just cut through the chase and tell me what's going on? My account has been locked for over 12 days and no one can explain",@320689 Did you receive the e-mail sent on October 17? Please check your spam/junk folder. ^AC
291779,@115823 hi team I had added an amount of Rs. 600 to my amazon pay account (user ID:__email__) but it’s still not reflecting,@185483 Please don’t provide your order details as we consider them to be personal info. Our page is visible to public. ^SG(2/2)
786759,"@AmazonHelp Merci pour vos actions, votre service est comme toujours irréprochable, la difficulté se situe uniquement du côté de ce transporteur.","@307684 A votre service, nous restons à votre disposition en cas de besoin.
^MD"
786765,@AmazonHelp Pathetic service...No help from amazon customer support service...emailed alot but no response....amazon sucks,@307685 We would like to help you. Please share your details with us here: https://t.co/GIJyeYqKE0. We'll get in touch shortly. ^CB
786783,@115821 Please see this.. This happened yesterday in Chennai. We spending our money and there is no safe delivery. How careless they are. https://t.co/y5gegr75X0,@307688 I'm sorry this happened. We would like to have a closer look here. Share your details here: https://t.co/beaaDm0muc 1/2^VR
786787,"When @115821 take £55 out of your account for no reason. K, cool. Thanks then",@307689 Sorry about the unexpected charge. Please contact us directly here: https://t.co/JzP7hlA23B and we can look into it. ^PK
786796,@115830 desperately need to speak to customer services but cant find a number,"@307638 Sorry to hear that, can you tell us a bit about the issue without sharing any personal or account info? ^JJ"
786801,@115850 This is the last time i'm shopping from amazon. Please improve ur courier facility. My product seal is broken and get use product.,@307693 We're sorry to hear that. I will forward your feedback internally which helps us improve customer experience.(1/2)^RS
786805,もーAmazonから、頼んだものが3週間も来ません😆最悪,@307694 (1/2)ご迷惑をおかけしております。注文履歴(https://t.co/bX5m1mZQxQ)に記載のお届け予定日を過ぎても届かない状況でしょうか。その場合、注文確認メールにて販売元を確認いただき、次にご案内する方法でお問い合わせください。ET
786810,@AmazonHelp Going to send a email with more details to the link you DMed last week.,"@307696 We are looking forward to it, but did not receive a message until now. Regards, ^DW"
786813,"@115850 I have ordered iphone 6 .It said the delivery date is by 17th Oct,bt nw it show delayed.why? Pls help.","@307697 Kindly wait till the estimate, I'm positive that the product would be delivered. Please keep us posted. (2/2) ^KA"
262553,@AmazonHelp The seller cancelled my order like I asked them to ☺,"@178543 Thanks for the update! Glad the seller was able to cancel the order for you, have a great rest of your day. ^EZ"
262560,Crazy my amazon app keeps failing while im trying to track a package that shouldve been delivered today.,@178544 I'm sorry your order hasn't arrived yet! Can you tell us who the carrier is: https://t.co/Y5jpI9gRhE? ^VS
262565,"I know this is a first-world problem, but Amazon really fucks me over a lot with their ""guaranteed"" same-day delivery offers.",@178545 I'm sorry for the poor experience! We'd like to help. Is this regarding a current order shown here: https://t.co/Y5jpI9gRhE? ^AG
2884069,@AmazonHelp My order number is  # 205-0650423-2409121,"@800053 We don't have account/order access via Twitter, and we don't recommend sharing account info, as this is a public space. You can reach us via chat/phone and we'll certainly take feedback about this and explore any options that we may have: https://t.co/JzP7hlA23B ^KN"
1311207,"@AmazonHelp I simply asked which neighbour my stuff went to. I was given a name instead of house number, told it can be marked as delivered (1)","@426405 This is not the type of customer experience we strive to offer. You *did* get the info you needed in the end, though? ^MJ"
1311214,"@AmazonHelp Product had a.lot of scratches and dust. Requested sry, Demanded fr a return!!","@426406 I'm sorry about that, Arun. Kindly request a return from here: https://t.co/dgreAZQ5qf. ^GD"
1311216,"And this is how @115850 @AmazonHelp packs + delivers products to its Prime members. 
Again, dis s not the first time! 
#Prime #NotSoPrime🤦 https://t.co/NKLnDZn2I1",@426406 Sorry to learn about this. You can share packaging feedback here : https://t.co/lvha47jKgQ. I hope the product is fine ? ^AS
2884080,"@AmazonHelp thanks durgesh, but keep the link.","@791885 I understand you're disappointed, Zion. We'd like to help you out. Please reach out to our support team through the link that was provided earlier and we'll have this checked. ^NK"
1311220,@AmazonHelp I have been promised twice now it will be delivered with 24 hours Sunday afternoon and no sign of my parcel???,@426407 Is there any update on the tracking details?  https://t.co/aaDyEz1VgE ^KM
1311219,@AmazonHelp The same update as Friday carrier unable to locate my address but I live on a normal road and I’ve never had issues with other companies?,@426407 What exactly was advised when you contacted? Did they email you afterwards? ^PK
1049100,@115850  can you dilverd home to home dilevary to this pin code 441801,"@367953 We deliver the products to your door step, Pravin. Please share the product link with us. We'll check this. ^SV"
1311247,".@120540 mandate un sacco di mail inutili, perché non avvisate della scadenza dell'abbonamento Prime prima di prendere i soldi? 😤😠","@426411 Ciao Sara, il rinnovo è automatico, se hai attivato Prime per errore puoi disattivarlo da qui: https://t.co/dtwDAQXPoz. ^MZ"
2884109,"@AmazonHelp I know nothing, I should get the packet.",@800061 I get you being upset. We'd like to assist you. Please contact our support team through the link that was provided earlier and we'll check this out for you. Appreciate your understanding. ^NK
1049109,"@115821 Their own customer service chat admitted they are a terrible delivery service.  Crappy way to do your customers, thx @115821.",@367954 I'm sorry for the troubling experience! Can you please provide your order details here: https://t.co/r6JB4YEGEr? ^ST
1049113,"@AmazonHelp i got a product and it turns out its fake, how do i report this?",@367955 Oh no! Was the item dispatched by Amazon or a Third-Party Seller? Check here if you're unsure: https://t.co/aaDyEz1VgE ^NM
1311261,"@115850 , fraud and deceitful things happening ! No customercare, only sale","@426414 Looks like you didn't have a pleasant experience with us. Kindly let us know what went wrong, we'd like to help. ^RI"
2884127,@115830. Putting children at risk. Amazon failing to dispatch critical child safety equipment then unable to engage with their own fulfilment centre. Protect children - avoid Amazon.,"@799928 Hi Paul, have you had an issue with an order?^PJ"
1049130,"Order Id: 408-4684124-8495505 
This is the last time, I am taking a product from @115850 
completely lying.. showing falls report. 1/6","@367959 Sorry about the trouble with the delivery of your order, Anotny. (1/3) ^HD"
1311268,Bon je crois que pour avoir la #XboxOneX #ProjectScorpio le 7/11 c'est mort... merci @120533 https://t.co/Gytbr32ZHf,"@426415 Bonjour,
Avez-vous un souci avec la livraison de votre colis?
^MD"
524845,"@AmazonHelp Yes Mr. not only did you miss that, I was told that my address is wrong. The address on which I have received many orders in the last couple of years.",@146322 I'm sorry for the miss on delivery. We'd like to look into it. Please report it to our support team here: https://t.co/2t6DQpbXFx we'll help you out. ^AP
524847,@AmazonHelp I would like to request a call back regarding a delivery issue I'm currently facing,@146322 Apologies for the issue you are facing regarding the delivery. Could you confirm if you have shared your details in the link provided earlier? ^JS
1049137,@AmazonHelp Nope to both!  Emailed...,"@367961 Thank you for the update, and your patience! ^JR"
524852,"ドキュメンタル観たすぎるから
Amazon prime契約しよかな🖥✔️",@241380 お待ちしております♪ https://t.co/qjaFIyuJfK  (*´︶`*) TN
1049142,@AmazonHelp my issue was solved. thanks guys,@367962 We're always here to help! I'm glad we were able to get everything take care of for you! ^ME
1311284,"@AmazonHelp There were no insights - just lots of excuses, none of which made sense. After waiting 17 mins to speak to a supervisor I gave up.",@426419 I see. What is the current tracking displaying for the order? ^DC
1311290,@AmazonHelp ひぇ～～(笑)わざわざ、、ありがとうございました。,@426421 またのご利用を心よりお待ちしておりますね😊　リプライありがとうございました！　SM
1311292,"アマゾンパントリーが届いた。
こんなん、、いろいろ(笑) https://t.co/wO5L3yd2bd",@426421 Amazonパントリーのご利用、ありがとうございました🙇　SM
524871,@AmazonHelp Thank for information I also know that from order section I can access invoice but IMEI NO is not mention In invoice. Please arrange invoice with IMEI NO.,@241385 The IMEI number for mobile/tablet devices will be available on the P-slip/Warranty 1 document. Please refer here for more information: https://t.co/iydGn2XZRX. ^AP
524884,"Yet another @115821 Prime delay. Never did hear back from @AmazonHelp from the last time. And by last time, I mean the last four times I've ordered anything.","@241388 I'm incredibly sorry you didn't hear back from us, Scott. That shouldn't ever happen. Was this delay also with Amazon Logistics? Have we provided a new delivery date? ^AM"
524890,"Amazonビデオ、モヤさまが配信されてる！
作業のお供に最適(^^)",@241390 ぜひ作業BGMとして、お楽しみくださいませ(*‘∀‘) EK
