example_id,message_id,conversation_id,timestamp,text,sampling_bucket,gold_intent,label_notes
1,1854984,1854984,Mon Oct 30 02:10:06 +0000 2017,Prime is great...but @115821 is like a loser bf who just says he'll show up but never does...like my package today.,prime_membership_benefit,delivery_delay,Prime is context; actual issue is late package.
2,593373,593373,Sun Dec 03 17:38:32 +0000 2017,@115850 I recharged idea number through amazonpay and yet not received any confirmation message,package_not_received,payment_unexpected_charge,Recharge confirmation issue.
3,1354476,1354476,Fri Oct 27 18:47:07 +0000 2017,".@115821 delivers package, tracking says it was received by me.

But I've been at work this entire time.

Next 3 hours: anxiety attack.",tracking_delivery_status,package_not_received,Tracking says delivered but customer did not receive it.
4,689173,689173,Thu Nov 23 14:22:35 +0000 2017,"@115850  Ordered a WD external hdd 2TB which was on 50% discount on the MRP of 11,400.
But received product's MRP is 8,810. This is how Amazon Business model works i guess. And yeah thanks to it's customer care they asked me to return instead of accepting their mistake https://t.co/4XEqDm48Ch",return_refund,return_refund,Customer is being asked to return the product.
5,1028229,1028229,Sat Oct 14 17:25:17 +0000 2017,@AmazonHelp I got the app for Amazon flex...how do I know when I can drive here in Las Vegas,technical_product_issue,technical_product_issue,Amazon Flex app-related question.
6,2217305,2217305,Thu Oct 19 15:10:26 +0000 2017,@AmazonHelp I can’t access my Amazon account and I’ve changed the password 5 times. Can you please help?,account_access,account_access,Cannot access Amazon account.
7,940921,940921,Fri Oct 13 23:34:23 +0000 2017,So @AmazonHelp what do I do when I get shipped the wrong item three times in a row?,damaged_defective_wrong_item,damaged_defective_wrong_item,Wrong item received repeatedly.
8,1313025,1313025,Fri Oct 27 06:57:28 +0000 2017,@AmazonHelp Um 15.30Uhr beginnt Nein Wochenende 😉,random_hard,other_unclear,Intent is unclear from the message.
9,2395771,2395771,Tue Nov 14 12:48:27 +0000 2017,@AmazonHelp This morning. I provided my email address and you correctly identified my account name.,account_access,account_access,Account identification issue.
10,2822408,2822408,Mon Nov 27 07:13:20 +0000 2017,@AmazonHelp the worst part of amazon I want to cancel my order but it won't. This is not a good service,order_cancellation_modification,order_cancellation_modification,Unable to cancel order.
11,378460,378460,Mon Oct 09 04:23:08 +0000 2017,"It was very pathetic experience with Amazon.
I have received the headset broken.
I am very disappointed with Amazon.@115850 https://t.co/ey8qRLcN1L",damaged_defective_wrong_item,damaged_defective_wrong_item,Broken headset received.
12,703846,703846,Thu Nov 23 18:51:49 +0000 2017,@AmazonHelp Es war eine 30 Tage Amazon Prime Werbung...........,prime_membership_benefit,prime_membership_benefit,Prime-related issue.
13,138982,138982,Fri Nov 24 10:45:24 +0000 2017,Hi @115830 why can I not get next day delivery with my prime subscription. Everything is coming up as Tuesday delivery. Can I get a prime membership refund?,return_refund,prime_membership_benefit,Main complaint is Prime delivery benefit; refund is secondary.
14,2317544,2317544,Mon Nov 13 12:27:09 +0000 2017,"@AmazonHelp @115850 Truly pathetic customer service. Asking me to wait endlessly from morning while I am asking to confirm payment status, take another payment of the previous one hasn’t gone through and give me my product. Just that nobody seems to be interested in doing business at all.",payment_unexpected_charge,payment_unexpected_charge,Payment status/duplicate payment concern.
15,941401,941401,Sat Oct 21 15:22:52 +0000 2017,One thing I have promised myself today - I will never again be recommending an @115850 prime subscription to anyone.,prime_membership_benefit,prime_membership_benefit,Prime subscription dissatisfaction.
16,2726727,2726727,Mon Nov 20 13:45:52 +0000 2017,"@115830 2/2

Turns out he's asking if I am 18 years old

Me: ""Do I look it?""

Courier: ""no you 18""

Me: well over 20 years ago yeah""

Courier point blank refuses to hand parcel over to me.

I don't know if to feel annoyed or flattered - I was born in '74!",random_hard,other_unclear,Delivery handover/age verification issue does not fit a defined intent cleanly.
17,841751,841751,Fri Oct 13 17:26:14 +0000 2017,@AmazonHelp u are of no help..till now sent 10 mails...same response..that u just cant return my money,return_refund,return_refund,Customer is unable to get money/refund returned.
18,278841,278841,Fri Oct 06 08:39:46 +0000 2017,"@AmazonHelp Not what I expected from a ""new"" toaster. For the 3rd time! https://t.co/bxllaJHr3J",random_hard,damaged_defective_wrong_item,Toaster appears defective/damaged.
19,2485586,2485586,Wed Nov 15 15:49:50 +0000 2017,@AmazonHelp my order keeps saying my order payment is a problem then I fix it then it pops up again I even did one day shipping on Sunday and it still hasn’t shipped!,payment_unexpected_charge,payment_unexpected_charge,Repeated payment problem is preventing shipment.
20,1097727,1097727,Mon Oct 23 21:53:26 +0000 2017,"@46783 @AmazonHelp Last week they wouldn't deliver because I wasn't in (not been a problem in the past) then ""couldn't"" drop it again because it was ""damaged""",damaged_defective_wrong_item,damaged_defective_wrong_item,Delivery was not completed because the item was reported damaged.
21,561727,561727,Sun Dec 03 20:00:12 +0000 2017,@AmazonHelp There’s many options on this link how do I get it escalated to software technical specialist?,technical_product_issue,technical_product_issue,Software technical support/escalation request.
22,917604,917604,Sat Oct 21 09:38:03 +0000 2017,@AmazonHelp I never received any email nor a call,package_not_received,other_unclear,Missing email/call; insufficient context to determine primary intent.
23,1245419,1245419,Thu Oct 26 00:30:47 +0000 2017,"@AmazonHelp Precisando me organizar meus nobres amigos, estou gostando da promoção que a Amazon vem disponibilizando!",random_hard,other_unclear,General Portuguese message with no clear support intent.
24,718381,718381,Sat Nov 25 08:03:06 +0000 2017,"@AmazonHelp Amazon Prime, I’ve sent an email explaining more",prime_membership_benefit,prime_membership_benefit,Prime-related issue; details are referenced in email.
25,350091,350091,Sun Oct 08 07:24:07 +0000 2017,@AmazonHelp again disappointed by the seller of amazon. Delviering wrong product in d name of other product,damaged_defective_wrong_item,damaged_defective_wrong_item,Wrong product delivered.
