example_id,gold_intent,query,rank,similarity,historical_case_id,historical_customer_message,historical_amazon_response
1,delivery_delay,Prime is great...but @115821 is like a loser bf who just says he'll show up but never does...like my package today.,1,0.8116017580032349,2142186,.@115821 Prime is just the best thing ever!,@629862 Woop! Glad you think so Andy :) ^NV
1,delivery_delay,Prime is great...but @115821 is like a loser bf who just says he'll show up but never does...like my package today.,2,0.7819237112998962,1795624,"@115821 i wish there were an option on Prime to only use @115817, b/c the package mishaps only ever happen when you ship @118706","@536757 Hey there! Are you currently experiencing an issue with delivery? If so, please let us know! ^KJ"
1,delivery_delay,Prime is great...but @115821 is like a loser bf who just says he'll show up but never does...like my package today.,3,0.7804960608482361,1216234,"@115821 I wonder why I pay for prime… I think out of about the past 8 only 1 has arrived on time ! Shocking service!
#amazon #prime #fail",@405391 Oh no! I'm sorry for the troubles with your orders! Can you tell me which site you order from and the current status? ^FR
1,delivery_delay,Prime is great...but @115821 is like a loser bf who just says he'll show up but never does...like my package today.,4,0.7802666425704956,1627619,"🗣 I LOVE @115821 
especially w/ Prime","@498310 Awesome! We love you, too! Thanks so much for being a Prime Member! 🙌🏼 ✨  ^AD"
1,delivery_delay,Prime is great...but @115821 is like a loser bf who just says he'll show up but never does...like my package today.,5,0.779832661151886,2052160,LOVE it when you pay for Prime and shit doesn't arrive when it says it will 🙃🙃🙃 @115821,@606902 I'm sorry to hear this! What was the delivery date given in your confirmation e-mail here: https://t.co/7R8P8hZQtW? ^KP
2,payment_unexpected_charge,@115850 I recharged idea number through amazonpay and yet not received any confirmation message,1,0.722618579864502,65878,"@115850 Well Amazon pay is turning out to be useful, have recharged twice &amp; also got cashback 😊 #amazonpay @115850",@131068 Happy to hear that!! We try our best to make you guys happy! ^AH
2,payment_unexpected_charge,@115850 I recharged idea number through amazonpay and yet not received any confirmation message,2,0.7105547785758972,830140,@115821 @115823 @36561  I recharge my Idea mobile through amazon pay for talk time but I received data balance when friend don't use,@317671 We've responded to your query via DM. Kindly check. ^PS
2,payment_unexpected_charge,@115850 I recharged idea number through amazonpay and yet not received any confirmation message,3,0.694924533367157,2604298,@115850 @AmazonHelp @115823 recharge on 10nov with first amazon pay but still not received cashback.REPLY ASAP https://t.co/YYcE59SQuN,"@521012 Please connect with us using this link here: https://t.co/00q4Sqj9zL and we'll check the cashback details for you. Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^KA"
2,payment_unexpected_charge,@115850 I recharged idea number through amazonpay and yet not received any confirmation message,4,0.6740341186523438,1456306,"@115850 
Very difficult to #recharge with amazon pay in mobile app. No direct link to go recharge option, recharge link search problem,",@458017 I'm sorry about this. You can try Menu&gt; Amazon Pay&gt; Mobile recharge on the app for quick access. ^VN
2,payment_unexpected_charge,@115850 I recharged idea number through amazonpay and yet not received any confirmation message,5,0.6723158359527588,2449336,"@115850 Hi, I have yet to receive the amazon pay cashback for first recharge. Please look into this. Thanks!!",@702019 Please check with the terms and conditions here: https://t.co/IOQNYavUbY and let us know if we have missed the mentioned time frame. ^AH
