example_id,gold_intent,customer_message,rank,similarity,historical_case_id,historical_customer_message,historical_response
1,delivery_delay,Prime is great...but @115821 is like a loser bf who just says he'll show up but never does...like my package today.,1,0.8116016983985901,2142186,.@115821 Prime is just the best thing ever!,@629862 Woop! Glad you think so Andy :) ^NV
1,delivery_delay,Prime is great...but @115821 is like a loser bf who just says he'll show up but never does...like my package today.,2,0.8084909915924072,344117,Then @115821 is like here's another month of #prime - I don't want prime if you won't deliver my damn packages.,@197847 I'm sorry for the frustration! Are you seeing this happen with a certain carrier? You can check here: https://t.co/Y5jpI9gRhE ^DW
1,delivery_delay,Prime is great...but @115821 is like a loser bf who just says he'll show up but never does...like my package today.,3,0.7993382215499878,2807311,What the hell @115821? What good is Prime if you can’t get it to me in time? https://t.co/hpU931Rvcr,@464072 We strive to meet the date shown at checkout and have let you down in this instance. I'm sorry your package was delayed. Please let us know if you don't receive it by the updated delivery time.  ^SE
1,delivery_delay,Prime is great...but @115821 is like a loser bf who just says he'll show up but never does...like my package today.,4,0.789056122303009,2325549,Ok. @115821 Prime doesn't seem worthwhile to me. The last few things I've bought didn't show up for 3-5 days past when they said it would.,@673625 I'm sorry for the wait! Have you noticed if it's happening with a certain carrier?  Check here: https://t.co/Y5jpI9ys9c ^JM
1,delivery_delay,Prime is great...but @115821 is like a loser bf who just says he'll show up but never does...like my package today.,5,0.781923770904541,1795624,"@115821 i wish there were an option on Prime to only use @115817, b/c the package mishaps only ever happen when you ship @118706","@536757 Hey there! Are you currently experiencing an issue with delivery? If so, please let us know! ^KJ"
2,payment_unexpected_charge,@115850 I recharged idea number through amazonpay and yet not received any confirmation message,1,0.7605138421058655,71945,"I've recharged my number using #amazon_pay but I didn't get any confirmation from my subscriber so far &amp; customer care executive told me that they didn't get any amount from Amazon against my recharge, please fix the issue @AmazonHelp @115850 https://t.co/S8vRh21Xil","@132142 We would like to help you. Please share your details with us here: https://t.co/GIJyeYqKE0. We'll get in touch shortly.
Please don't provide your order details as we consider it personal information. Our twitter page is visible to public.^CB"
2,payment_unexpected_charge,@115850 I recharged idea number through amazonpay and yet not received any confirmation message,2,0.7321786880493164,2828831,@115850 Hi team. REgarding #AmazonPay &amp; #Mobile Recharge I had DMed you. Kindly check and respond. THank you.,@787797 Thanks for writing to us. We'll reply to you via DM. ^SG
2,payment_unexpected_charge,@115850 I recharged idea number through amazonpay and yet not received any confirmation message,3,0.7260611057281494,1614877,@115850 @AmazonHelp my recharge failed due to Ur technical issue...and evn the money is not refunded...,"@495330 In that case, the refund will be reflecting automatically to your original payment method within 3-5 business days. ^RS"
2,payment_unexpected_charge,@115850 I recharged idea number through amazonpay and yet not received any confirmation message,4,0.7226186394691467,65878,"@115850 Well Amazon pay is turning out to be useful, have recharged twice &amp; also got cashback 😊 #amazonpay @115850",@131068 Happy to hear that!! We try our best to make you guys happy! ^AH
2,payment_unexpected_charge,@115850 I recharged idea number through amazonpay and yet not received any confirmation message,5,0.7197561264038086,2499083,"I was just charged for something by @115821 I never signed up for.

What is going on?

@AmazonHelp","@713049 I'm sorry that you have received an unknown charge! If you haven't already, please contact us so can take a closer look into this for you:  https://t.co/hApLpMlfHN ^SA"
3,package_not_received,".@115821 delivers package, tracking says it was received by me.

But I've been at work this entire time.

Next 3 hours: anxiety attack.",1,0.7800429463386536,2316614,@115850 I have received package delivered notification but yet no package is received by me. Tracking # 216265638418,"@671684 Apologies for the incorrect tracking update. Have you reported this to our support team here: https://t.co/rS49hgaADF? Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^VH"
3,package_not_received,".@115821 delivers package, tracking says it was received by me.

But I've been at work this entire time.

Next 3 hours: anxiety attack.",2,0.7784472703933716,989878,@115850 @115821 package delivered to someone unknown and not to me,@135354 I'm sorry you haven't received the package even though the tracking is updated as delivered. This could be due to incorrect tracking scan update. Please share your details here: https://t.co/Xy2aopi9XF and I'll sort this out. ^SH
3,package_not_received,".@115821 delivers package, tracking says it was received by me.

But I've been at work this entire time.

Next 3 hours: anxiety attack.",3,0.7670813798904419,1908914,@115821  never got my package even though it said it was delivered??? https://t.co/9LihnJ7pBs,@568670 Oh no! So sorry. Missing packages usually show up within 24 hours- we also have some tips here: https://t.co/KX1hFdOQbI ^BL
3,package_not_received,".@115821 delivers package, tracking says it was received by me.

But I've been at work this entire time.

Next 3 hours: anxiety attack.",4,0.7666944265365601,1768235,"Two poor experiences from @115821 ! First had the most bs email from customer service, now my package hasn’t arrived&amp;no more tracking info!",@531651 I'm sorry for the frustration! What information were you provided when you contacted us? ^AC
3,package_not_received,".@115821 delivers package, tracking says it was received by me.

But I've been at work this entire time.

Next 3 hours: anxiety attack.",5,0.7651678323745728,771362,@115821 I got my package delivered but the delivery person is acting very suspicious. This is outside of protocol. https://t.co/9tWUa6VXCS,"@304224 Oh no! This isn't the experience we want you to have, Allan! Please let us know more info here: https://t.co/if0hCJEILy ^AD"
