example_id,gold_intent,customer_message,predicted_intent,classification_method,top_similarity,decision,reason,intent_correct
1,delivery_delay,Prime is great...but @115821 is like a loser bf who just says he'll show up but never does...like my package today.,prime_membership_benefit,semantic,0.8116016983985901,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.812).,False
2,payment_unexpected_charge,@115850 I recharged idea number through amazonpay and yet not received any confirmation message,payment_unexpected_charge,semantic,0.7605138421058655,escalate,Payment or charge issues may require account/order verification.,True
3,package_not_received,".@115821 delivers package, tracking says it was received by me.

But I've been at work this entire time.

Next 3 hours: anxiety attack.",tracking_delivery_status,keyword,0.7800429463386536,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.780).,False
4,return_refund,"@115850  Ordered a WD external hdd 2TB which was on 50% discount on the MRP of 11,400.
But received product's MRP is 8,810. This is how Amazon Business model works i guess. And yeah thanks to it's customer care they asked me to return instead of accepting their mistake https://t.co/4XEqDm48Ch",seller_marketplace,semantic,0.66341632604599,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.663).,False
5,technical_product_issue,@AmazonHelp I got the app for Amazon flex...how do I know when I can drive here in Las Vegas,tracking_delivery_status,semantic,0.6826640367507935,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.683).,False
6,account_access,@AmazonHelp I can’t access my Amazon account and I’ve changed the password 5 times. Can you please help?,account_access,semantic,0.935390830039978,escalate,Account-specific access issues may require account verification.,True
7,damaged_defective_wrong_item,So @AmazonHelp what do I do when I get shipped the wrong item three times in a row?,damaged_defective_wrong_item,keyword,0.795349657535553,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.795).,True
8,other_unclear,@AmazonHelp Um 15.30Uhr beginnt Nein Wochenende 😉,technical_product_issue,semantic,0.7336748838424683,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.734).,False
9,account_access,@AmazonHelp This morning. I provided my email address and you correctly identified my account name.,account_access,semantic,0.8969025015830994,escalate,Account-specific access issues may require account verification.,True
10,order_cancellation_modification,@AmazonHelp the worst part of amazon I want to cancel my order but it won't. This is not a good service,order_cancellation_modification,keyword,0.9027044773101808,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.903).,True
11,damaged_defective_wrong_item,"It was very pathetic experience with Amazon.
I have received the headset broken.
I am very disappointed with Amazon.@115850 https://t.co/ey8qRLcN1L",damaged_defective_wrong_item,keyword,0.7846349477767944,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.785).,True
12,prime_membership_benefit,@AmazonHelp Es war eine 30 Tage Amazon Prime Werbung...........,other_unclear,semantic_low_confidence,0.7816208600997925,escalate,Intent is unclear or does not match a supported category.,False
13,prime_membership_benefit,Hi @115830 why can I not get next day delivery with my prime subscription. Everything is coming up as Tuesday delivery. Can I get a prime membership refund?,prime_membership_benefit,semantic,0.848874568939209,escalate,Message contains multiple potentially conflicting issues.,True
14,payment_unexpected_charge,"@AmazonHelp @115850 Truly pathetic customer service. Asking me to wait endlessly from morning while I am asking to confirm payment status, take another payment of the previous one hasn’t gone through and give me my product. Just that nobody seems to be interested in doing business at all.",other_unclear,semantic_low_confidence,0.8295077085494995,escalate,Intent is unclear or does not match a supported category.,False
15,prime_membership_benefit,One thing I have promised myself today - I will never again be recommending an @115850 prime subscription to anyone.,prime_membership_benefit,keyword,0.8212614059448242,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.821).,True
